NC																				
			(0.003)	(0.006)	(0.005)		(0.003)	(0.005)	(0.004)		(0.002)	(0.005)	(0.003)		(0.002)	(0.005)	(0.004)		(0.005)	(0.006)
_ISECTOR_45	SECTOR==45		-0.008	0.015	0.016		-0.004	0.007	0.007		0.002	0.003	0.003		-0.005	0.010	0.010		0.015	-0.000
			(0.013)	(0.013)	(0.014)		(0.012)	(0.013)	(0.013)		(0.013)	(0.013)	(0.014)		(0.013)	(0.014)	(0.015)		(0.017)	(0.005)
_ISECTOR_50	SECTOR==50		0.009	0.004	0.002		0.011	-0.003	-0.001		0.010	-0.005	-0.002		0.009	-0.001	-0.000		0.008	-0.000
			(0.008)	(0.010)	(0.005)		(0.010)	(0.010)	(0.004)		(0.011)	(0.011)	(0.004)		(0.009)	(0.011)	(0.004)		(0.009)	(0.007)
_ISECTOR_51	SECTOR==51		0.001	-0.008	-0.000		0.002	-0.016	-0.001		0.000	-0.024	-0.000		0.000	-0.017	-0.000		-0.000	-0.017
			(0.007)	(0.015)	(0.002)		(0.008)	(0.015)	(0.004)		(0.010)	(0.016)	(0.006)		(0.008)	(0.016)	(0.004)		(0.001)	(0.018)
_ISECTOR_52	SECTOR==52		-0.009	0.096	-0.020		-0.016	0.040	-0.008		-0.021	0.006	-0.001		-0.015	0.038	-0.007		-0.029	0.045
			(0.013)	(0.065)	(0.016)		(0.013)	(0.064)	(0.013)		(0.015)	(0.068)	(0.012)		(0.014)	(0.070)	(0.013)		(0.021)	(0.082)
_ISECTOR_55	SECTOR==55		0.014	0.018	-0.008		-0.002	-0.050	0.021		-0.013	-0.079	0.034		-0.003	-0.055	0.023		0.044	-0.078
			(0.023)	(0.061)	(0.025)		(0.023)	(0.061)	(0.026)		(0.026)	(0.066)	(0.029)		(0.027)	(0.068)	(0.030)		(0.037)	(0.098)
_ISECTOR_60	SECTOR==60		0.017	-0.026	-0.014		0.019	-0.038**	-0.020		0.022*	-0.042**	-0.024*		0.021	-0.038**	-0.022		-0.022	-0.016
			(0.011)	(0.017)	(0.011)		(0.012)	(0.018)	(0.013)		(0.013)	(0.019)	(0.014)		(0.013)	(0.019)	(0.014)		(0.015)	(0.018)
_ISECTOR_72	SECTOR==72		-0.005	0.008	0.006		-0.003	0.006	0.004		-0.002	0.005	0.003		-0.003	0.007	0.005		0.006	0.002
			(0.005)	(0.007)	(0.006)		(0.004)	(0.006)	(0.005)		(0.004)	(0.007)	(0.005)		(0.005)	(0.007)	(0.006)		(0.007)	(0.007)
_Icountryc_2	countryc==2		0.007	-0.012	-0.004		0.002	-0.026	-0.009		-0.001	-0.020	-0.005		-0.001	-0.016	-0.004		-0.009	-0.012
			(0.007)	(0.016)	(0.006)		(0.005)	(0.018)	(0.009)		(0.004)	(0.018)	(0.007)		(0.004)	(0.019)	(0.006)		(0.011)	(0.016)
_Icountryc_3	countryc==3		0.007	0.040	-0.011		0.005	0.018	-0.005		0.008	0.024	-0.006		0.010	0.041	-0.011		-0.013	0.053
			(0.008)	(0.024)	(0.010)		(0.007)	(0.024)	(0.007)		(0.009)	(0.025)	(0.008)		(0.010)	(0.028)	(0.011)		(0.013)	(0.037)
_Icountryc_4	countryc==4		0.004	0.020	-0.004		0.003	0.016	-0.003		0.005	0.028	-0.005		0.005	0.037	-0.007		-0.008	0.043
			(0.006)	(0.025)	(0.006)		(0.005)	(0.024)	(0.005)		(0.007)	(0.025)	(0.007)		(0.007)	(0.027)	(0.008)		(0.010)	(0.033)
_Icountryc_5	countryc==5		0.006	0.010	-0.001		0.008	0.008	-0.001		0.010	0.021	-0.003		0.010	0.025	-0.004		0.002	0.029
			(0.008)	(0.024)	(0.004)		(0.011)	(0.024)	(0.004)		(0.013)	(0.026)	(0.005)		(0.013)	(0.027)	(0.006)		(0.005)	(0.031)
_Icountryc_6	countryc==6		0.021	0.020	-0.005		0.011	0.000	-0.000		0.019	0.024	-0.007		0.019	0.028	-0.008		0.004	0.036
			(0.017)	(0.023)	(0.007)		(0.010)	(0.024)	(0.007)		(0.015)	(0.027)	(0.009)		(0.015)	(0.028)	(0.009)		(0.010)	(0.037)
_Icountryc_7	countryc==7		-0.005	0.026	0.003		-0.001	0.007	0.000		-0.002	0.017	0.001		-0.002	0.018	0.001		0.000	0.017
			(0.007)	(0.032)	(0.006)		(0.004)	(0.032)	(0.002)		(0.007)	(0.033)	(0.003)		(0.005)	(0.035)	(0.004)		(0.003)	(0.034)
_Icountryc_8	countryc==8		-0.000	-0.019	0.002		-0.002	-0.016	0.001		-0.001	-0.010	0.001		-0.001	-0.003	0.000		-0.000	-0.003
			(0.002)	(0.024)	(0.004)		(0.005)	(0.024)	(0.004)		(0.004)	(0.025)	(0.003)		(0.003)	(0.025)	(0.002)		(0.003)	(0.027)
_Icountryc_9	countryc==9		0.002	-0.006	0.001		0.005	-0.009	0.002		0.008	-0.001	0.000		0.007	0.002	-0.000		0.007	0.002
			(0.004)	(0.025)	(0.005)		(0.007)	(0.025)	(0.005)		(0.009)	(0.026)	(0.005)		(0.009)	(0.027)	(0.005)		(0.009)	(0.033)
_Icountryc_10	countryc==10		0.005	-0.017	0.008		0.009	-0.026	0.012		0.018	-0.004	0.002		0.019	0.007	-0.003		0.012	0.011
			(0.014)	(0.034)	(0.016)		(0.014)	(0.033)	(0.016)		(0.015)	(0.033)	(0.015)		(0.016)	(0.034)	(0.016)		(0.020)	(0.050)
_Icountryc_11	countryc==11		0.001	0.023	-0.001		-0.000	0.014	0.000		0.000	0.022	-0.000		0.001	0.029	-0.000		-0.000	0.029
			(0.012)	(0.019)	(0.005)		(0.008)	(0.018)	(0.004)		(0.012)	(0.020)	(0.006)		(0.013)	(0.021)	(0.007)		(0.002)	(0.024)
_Icountryc_12	countryc==12		-0.004	0.032	-0.007		0.011	0.008	-0.002		0.010	0.017	-0.004		0.011	0.029	-0.006		-0.001	0.035
			(0.006)	(0.026)	(0.008)		(0.011)	(0.030)	(0.007)		(0.011)	(0.031)	(0.007)		(0.012)	(0.032)	(0.008)		(0.008)	(0.039)
_Icountryc_13	countryc==13		-0.025	-0.004	-0.003		-0.023	-0.004	-0.003		-0.042	0.012	0.011		-0.035	0.007	0.006		-0.023	0.001
			(0.025)	(0.032)	(0.026)		(0.025)	(0.031)	(0.026)		(0.028)	(0.033)	(0.028)		(0.028)	(0.034)	(0.029)		(0.034)	(0.005)
group_1		10.635***				10.638***				10.634***				10.635***				10.635***		
		(0.026)				(0.026)				(0.027)				(0.027)				(0.027)		
group_2		10.364***				10.367***				10.367***				10.367***				10.367***		
		(0.049)				(0.049)				(0.050)				(0.051)				(0.051)		
difference		0.271***				0.270***				0.266***				0.268***				0.268***		
		(0.055)				(0.055)				(0.057)				(0.058)				(0.058)		
endowments		0.043				0.088**				0.096*				0.104*						
		(0.040)				(0.044)				(0.051)				(0.054)						
coefficients		0.241***				0.185***				0.162***				0.163***						
		(0.055)				(0.054)				(0.056)				(0.057)						
interaction		-0.013				-0.002				0.009				0.000						
		(0.040)				(0.043)				(0.051)				(0.054)						
explained																		0.105		
																		(0.075)		
unexplained																		0.162*		
																		(0.089)		
Constant	Constant			-0.030				-1.344				-1.963				-1.567				-1.567
				(0.329)				(1.368)				(1.445)				(1.551)				(1.551)
																				
Observations		1,888	1,888	1,888	1,888	1,855	1,855	1,855	1,855	1,820	1,820	1,820	1,820	1,819	1,819	1,819	1,819	1,819	1,819	1,819
Country FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Sector FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
