		(0.003)	(0.003)	(0.003)	(0.005)	(0.003)	(0.003)	(0.004)	(0.006)	(0.003)	(0.003)	(0.004)	(0.005)	(0.003)	(0.003)	(0.004)	(0.005)
lnage	Ln Age of the firm	-0.077*	-0.068	-0.011	-0.196**	-0.005	0.004	0.025	-0.043	-0.013	-0.004	0.023	-0.073	-0.039	-0.067	-0.027	-0.140*
		(0.044)	(0.046)	(0.057)	(0.077)	(0.049)	(0.052)	(0.062)	(0.097)	(0.050)	(0.054)	(0.067)	(0.088)	(0.044)	(0.047)	(0.059)	(0.074)
lnnworkers	Ln Number of employees	-0.058**	-0.053*	-0.054	-0.050	0.029	0.031	0.014	0.083	-0.050	-0.009	-0.043	0.063	0.018	0.026	-0.002	0.073
		(0.028)	(0.030)	(0.037)	(0.051)	(0.031)	(0.033)	(0.041)	(0.057)	(0.031)	(0.033)	(0.040)	(0.060)	(0.029)	(0.030)	(0.038)	(0.050)
fixas	The firm purchases fixed assets	-0.074	-0.069	-0.125*	0.046	0.229***	0.262***	0.298***	0.204*	-0.060	-0.040	-0.077	0.043	-0.022	0.006	0.070	-0.093
		(0.057)	(0.060)	(0.073)	(0.103)	(0.063)	(0.067)	(0.082)	(0.121)	(0.061)	(0.064)	(0.077)	(0.119)	(0.057)	(0.060)	(0.074)	(0.107)
shareh	shareholding company	-0.005	-0.024	-0.052	0.027	-0.115	-0.108	-0.123	-0.087	0.113	0.092	0.024	0.241*	-0.085	-0.046	-0.070	0.002
		(0.068)	(0.072)	(0.088)	(0.124)	(0.074)	(0.080)	(0.095)	(0.146)	(0.074)	(0.078)	(0.093)	(0.139)	(0.067)	(0.071)	(0.087)	(0.122)
partner	Partnership including limited liability	-0.081	-0.071	-0.183	0.163	-0.186*	-0.145	-0.103	-0.172	0.210**	0.180*	0.152	0.275	-0.066	-0.056	-0.142	0.161
		(0.088)	(0.094)	(0.117)	(0.156)	(0.098)	(0.103)	(0.129)	(0.170)	(0.097)	(0.101)	(0.120)	(0.188)	(0.086)	(0.092)	(0.112)	(0.160)
limpartner	Limited Partnership	-0.027	-0.023	-0.017	-0.025	-0.162*	-0.211**	-0.125	-0.362*	0.079	0.050	-0.067	0.337*	-0.126	-0.113	-0.150	-0.020
		(0.085)	(0.090)	(0.111)	(0.149)	(0.094)	(0.099)	(0.117)	(0.189)	(0.091)	(0.097)	(0.115)	(0.172)	(0.087)	(0.091)	(0.112)	(0.155)
multi	The establishment part of a larger firm	-0.084	-0.080	-0.004	-0.259*	0.161*	0.130	0.152	0.085	0.221***	0.212**	0.234**	0.209	0.095	0.119	0.188*	-0.072
		(0.076)	(0.080)	(0.092)	(0.152)	(0.084)	(0.089)	(0.101)	(0.186)	(0.084)	(0.089)	(0.105)	(0.163)	(0.075)	(0.080)	(0.097)	(0.141)
foreign	Percentage of the firm owned by foreigners	0.024	0.088	0.095	0.103	-0.063	-0.049	-0.100	0.009	-0.042	-0.019	0.076	-0.207	-0.102	-0.107	-0.064	-0.127
		(0.077)	(0.081)	(0.100)	(0.140)	(0.084)	(0.091)	(0.109)	(0.174)	(0.083)	(0.087)	(0.108)	(0.144)	(0.074)	(0.079)	(0.098)	(0.136)
exporter	The firm exports	-0.073	-0.044	-0.117	0.069	-0.049	-0.053	-0.029	-0.074	-0.148**	-0.160**	-0.124	-0.202*	0.076	0.009	0.021	-0.011
		(0.066)	(0.069)	(0.092)	(0.105)	(0.074)	(0.078)	(0.100)	(0.129)	(0.070)	(0.075)	(0.097)	(0.121)	(0.063)	(0.066)	(0.087)	(0.105)
web	The firm uses its own website	-0.075	-0.094	-0.108	-0.093	-0.102	-0.086	-0.088	-0.062	-0.056	-0.036	0.010	-0.154	0.016	0.037	0.059	-0.030
		(0.057)	(0.060)	(0.072)	(0.107)	(0.064)	(0.069)	(0.081)	(0.130)	(0.063)	(0.067)	(0.080)	(0.123)	(0.058)	(0.060)	(0.072)	(0.110)
techas	The firm benefits from any technical assistance programs	0.001	0.006	-0.004	0.008	-0.107	-0.146*	-0.035	-0.400***	-0.064	-0.103	-0.128	-0.050	-0.025	-0.042	-0.040	-0.070
		(0.075)	(0.078)	(0.095)	(0.140)	(0.079)	(0.083)	(0.101)	(0.149)	(0.076)	(0.082)	(0.098)	(0.146)	(0.072)	(0.075)	(0.093)	(0.125)
innovd	Innovation department	0.158	0.108	0.380	0.060	0.163	0.336**	0.593*	0.332*	0.259**	0.367**	0.833**	0.266	-0.003	0.089	0.223	0.011
		(0.113)	(0.124)	(0.286)	(0.154)	(0.133)	(0.145)	(0.304)	(0.186)	(0.132)	(0.144)	(0.333)	(0.177)	(0.106)	(0.115)	(0.274)	(0.145)
innovp	Innovation introduced	-0.022	-0.021	0.041	-0.067	-0.029	-0.122	-0.070	-0.199	-0.119	-0.197**	-0.133	-0.278*	0.133*	0.097	0.035	0.203
		(0.077)	(0.082)	(0.105)	(0.138)	(0.090)	(0.099)	(0.127)	(0.164)	(0.088)	(0.091)	(0.118)	(0.153)	(0.078)	(0.084)	(0.110)	(0.136)
45b.SECTOR#1b.countryc				0.000				0.000				0.000				0.000	
				(0.000)				(0.000)				(0.000)				(0.000)	
45b.SECTOR#2.countryc				1.022				0.403				-0.474				0.301	
				(0.740)				(0.612)				(0.520)				(0.551)	
45b.SECTOR#3.countryc				1.826***				1.385***				0.865**				-0.236	
				(0.507)				(0.535)				(0.386)				(0.471)	
45b.SECTOR#4.countryc				1.431***				-0.641				-0.099				1.058*	
				(0.422)				(0.597)				(0.618)				(0.616)	
45b.SECTOR#5.countryc				0.696*				-0.364				0.087				0.508	
				(0.389)				(0.580)				(0.483)				(0.485)	
45b.SECTOR#6.countryc				-0.015				1.995***				1.593***				0.820	
				(0.547)				(0.452)				(0.566)				(0.752)	
45b.SECTOR#7.countryc				0.290				0.667				0.230				0.690	
				(0.347)				(0.674)				(0.614)				(0.654)	
45b.SECTOR#8.countryc				-0.114				-0.309				0.938				0.484	
				(0.442)				(0.487)				(0.732)				(0.543)	
45b.SECTOR#9.countryc				0.805**				-0.352				0.076				0.073	
				(0.394)				(0.573)				(0.495)				(0.448)	
45b.SECTOR#10.countryc				0.521				-0.375				-0.092				0.347	
				(0.421)				(0.640)				(0.462)				(0.528)	
45b.SECTOR#11.countryc				-0.196				-0.418				-0.038				-0.616	
				(0.594)				(0.804)				(0.677)				(0.459)	
45b.SECTOR#12.countryc				1.116***				-0.405				-0.325				0.769	
				(0.337)				(0.553)				(0.473)				(0.498)	
45b.SECTOR#13.countryc				0.378				-0.033				0.332				0.305	
				(0.248)				(0.509)				(0.425)				(0.437)	
72o.SECTOR#11o.countryc			0.000	0.000			0.000	0.000			0.000	0.000			0.000	0.000	
			(0.000)	(0.000)			(0.000)	(0.000)			(0.000)	(0.000)			(0.000)	(0.000)	
29o.SECTOR#11o.countryc			0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
			(0.000)		(0.000)		(0.000)		(0.000)		(0.000)		(0.000)		(0.000)		(0.000)
72o.SECTOR#13o.countryc			0.000				0.000				0.000				0.000		
			(0.000)				(0.000)				(0.000)				(0.000)		
31o.SECTOR#13o.countryc					0.000				0.000				0.000				0.000
					(0.000)				(0.000)				(0.000)				(0.000)
Constant	Constant	5.017***	6.183***	5.863***	5.190***	1.574*	0.684	2.355*	1.955	0.017	0.745	0.801	-0.607	0.734	1.731**	2.387**	-0.882
		(0.767)	(0.841)	(1.071)	(1.341)	(0.803)	(0.899)	(1.218)	(1.639)	(0.753)	(1.064)	(1.082)	(1.481)	(0.699)	(0.788)	(1.103)	(1.064)
																	
Observations		1,874	1,874	1,249	625	1,874	1,874	1,249	625	1,874	1,874	1,249	625	1,874	1,874	1,249	625
R-squared		0.092	0.181	0.160	0.253	0.103	0.175	0.170	0.210	0.065	0.164	0.135	0.250	0.084	0.173	0.139	0.276
Constraint		Finance	Finance	Finance	Finance	elec	elec	elec	elec	policy	policy	policy	policy	taxadmin	taxadmin	taxadmin	taxadmin
Country FE		Yes				Yes				Yes				Yes			
Sector FE		Yes				Yes				Yes				Yes			
r2_a		0.0684	0.0817	0.0848	0.0809	0.0799	0.0746	0.0956	0.0271	0.0413	0.0620	0.0567	0.0766	0.0606	0.0721	0.0614	0.108
Country-Sector FE			Yes	Yes	Yes		Yes	Yes	Yes		Yes	Yes	Yes		Yes	Yes	Yes
Manufactures					Yes				Yes				Yes				Yes
Services				Yes				Yes				Yes				Yes	
Robust standard errors in parentheses																	
*** p<0.01, ** p<0.05, * p<0.1																	
